Facility,Discoveries,Latitude,Longitude
Acton Sky Portal Observatory,1,43,71
Anglo-Australian Telescope,37,-31.2755295,149.0672597
Apache Point Observatory,1,32.7802079,-105.8197491
Arecibo Observatory,3,18.3464019,-66.7528196
Atacama Large Millimeter Array (ALMA),1,-23.0234342,-67.7538335
Bohyunsan Optical Astronomical Observatory,17,36.1647,128.9772
Calar Alto Observatory,11,37.2208416,-2.5467574
Cerro Tololo Inter-American Observatory,2,-30.1689593,-70.806343
CoRoT,33,41.700001,-71.5
European Southern Observatory,2,48.2595829,11.6709547
Fred Lawrence Whipple Observatory,6,31.6751308,-110.9520111
Gemini Observatory,9,19.823819,-155.4689039
Haleakala Observatory,2,20.7081832,-156.2567542
HATNet,59,31.6751308,-110.9520111
HATSouth,68,29.0182,70.6915
Haute-Provence Observatory,51,43.9345695,5.7105433
Hubble Space Telescope,5,28.5,28.5
K2,422,51.4769,0.0005
Kepler,2392,8.1,38
Kitt Peak National Observatory,1,31.9598899,-111.5997477
La Silla Observatory,245,-29.2562691,-70.7380458
Large Binocular Telescope Observatory,2,32.7011479,-109.8891549
Las Campanas Observatory,29,-29.0181509,-70.6914661
Leoncito Astronomical Complex,1,-31.7986161,-69.2956209
Lick Observatory,32,37.341413,-121.6429102
Mauna Kea Observatory,1,19.8230355,-155.4694483
McDonald Observatory,29,30.6798048,-104.0248334
MOA,24,19.5362,155.5763
Multiple Observatories,146,34.2252867,-118.0572966
OGLE,64,-29.01,-70.699
Okayama Astrophysical Observatory,23,34.5760661,133.5941282
Palomar Observatory,29,33.3563057,-116.8649995
Qatar,11,25.3271,51.1967
Roque de los Muchachos Observatory,22,28.7572814,-17.8849643
Subaru Telescope,8,19.7025722,-155.0902949
SuperWASP,111,28.7134,17.9058
SuperWASP-South,37,33.9345,18.4771
Teide Observatory,1,28.2997,-16.50826
Thueringer Landessternwarte Tautenburg,8,50.9816709,11.7115233
United Kingdom Infrared Telescope,2,19.8224497,-155.4702928
W. M. Keck Observatory,175,19.8259508,-155.4746821
Winer Observatory,1,31.6656759,-110.6017574
Xinglong Station,2,40.413958,117.4943551
Yunnan Astronomical Observatory,3,25.022235,102.79002
