Cat,Name,Duration,Description,Link
1,4000 Exoplanets,1 min,"Animated timeline of discovery, plotted on chart",https://www.youtube.com/watch?v=aiFD_LBx2nM
1,EXOPLANETS size Comparison | 3D Animation,2 min,"Shows size comparison of exoplanets against each other, earth, and sun.",https://www.youtube.com/watch?v=ZmyI_NberMU
1,Standing on Proxima b - Closest Exoplanet to the Earth,5 min,Animation of what can be seen from Proxima b.,https://www.youtube.com/watch?v=ionwRI5T9V8
1,The most habitable Exoplanets we know of,6 min,Animation of potentially habitable exoplanets visually showing comparisons of their size to earth and their star to our sun.,https://www.youtube.com/watch?v=HhLwEjiQFaY
1,Wheel of Science - Exoplanets | Neil deGrasse Tyson,11 min,"Brief, Lighthearted Q and A about exoplanets.",https://www.youtube.com/watch?v=sTndbwrN1mo
2,Astronomy #27 - Exoplanets: Crash Course,12 min,Crash course on exoplanet essentials.,https://www.youtube.com/watch?v=7ATtD8x7vV0
2,Cool Worlds: Why we might be alone in the Universe,25 m,consideration against the belief that there must be other life because the universwe is so big. See also https://www.youtube.com/watch?v=iLbbpRYRW5Y.,https://www.youtube.com/watch?v=PqEmYU8Y_rI 
2,Exoplanets Update with Professor Paul Delaney,78 min,"Presentation, January 15th, 2020 at the Ontario Science Centre.  Recent exoplanet updates, good graphs and descriptions of what we look at when we study exoplanets.",https://www.youtube.com/watch?v=HrQmHz6RS84
2,How the Universe Works: Exoplanets From Hell,60 min,From 2012 before any inhabitable planets were found.  Animation of extreme planetary conditions and comments from scientists.,https://www.youtube.com/watch?v=8lZNyAH2L6k
2,"Michio Kaku: Future of Humans, Aliens, Space Travel & Physics | Lex Fridman Podcast #45",60 min,"Conversation with famed theoretical physicist speaks to such things as the future of mankind, problems with creating fusion when it's so easy for a star, and many others.  Plenty of analogies and stories.",https://www.youtube.com/watch?v=kD5yc1LQrpQ
2,National geo exoplanets 101, 4 min,General video on exoplanets,https://www.youtube.com/watch?v=EUU0-ZpFoK4
2,NOVA: Finding Life Beyond Earth and Solar System,54 min,"from 1999.  looking at lfe on earth, the potential for other life in our solar system, rudimentary discussions on life elsewhere and how we were starting to look.",https://www.youtube.com/watch?v=oOYXohPlBpU 
2,Professor Dave Explains - The Alpha Centauri System,8 min,video on our closest exoplanet/star system, https://www.youtube.com/watch?v=39VKA8vPXGg
2,Space Time  - Habitable Exoplanets Debunked!,6 min,Quick discussion on problems with determining an exoplanets habitability.,https://www.youtube.com/watch?v=9Q_0vOdzw4Y
2,Space Time: First Detection of Life, 10 min,Proving life on earth from observations in space as a framework to finding life elsewhere.,https://www.youtube.com/watch?v=OfOuBx6XW3Q
2,Space Time: The End of the Habitable Zone, 10 min,What will happen to earth when the sun starts to die and its habitable zone moves past us.,https://www.youtube.com/watch?v=wwGeCfWc100  
2,spacetime- The Treasures of Trappist-1,9 min,Information on the Trapist-1 star system and its seven planets.,https://www.youtube.com/watch?v=h871oE5QkTU
2,Virtual Planetarium: Exploring Exoplanets,27 min,"Planetarium show about different types of stars, solar systems, and exoplanets. Rochester Museum and Science Center April 1, 2020",https://www.youtube.com/watch?v=duBfw7VEv6E
2,Virtual Reality tour of six exoplanets,11 min,"Good visuals on what some exoplanets may look like as far as geologic features, along with information about them.",https://www.youtube.com/watch?v=qhLExhpXX0E
3, Atmospheric Retrieval of Exoplanets,26 min,"Ryan MacDonald, U of Cambridge Institute of Astronomy: detailed discussion on methods used to determine characteristics of exoplanets, focusing on atmospheric conditions.",https://www.youtube.com/watch?v=ZnLg4YFMfDQ 
3,Cool Worlds: Single and Unconstrained,11 min,equtions on the orbital periods of planets we may discover by observing only a single transit.,https://www.youtube.com/watch?v=yHMSHcFV6oo 
3,Exoplanet Biosignatures: A Review of Remotely Detectable Signs of Life,paper,Detailed paper on how we detect all the things that help determine what an exoplanet is like.,https://www.liebertpub.com/doi/10.1089/ast.2017.1729
3,Exoplanets: A Search for New Worlds, 72 min,"Lecture with Nestor Espinoza, Space Telescope Science Institute- March 3, 2020. some detailed discussions on how we look for exoplanets and how we determine their characteristics.",https://www.youtube.com/watch?v=hnAwLra9Kh8
3,When will Alien Life be Found on Exoplanets?,  29 min,"Exoplanet astronomer Ryan MacDonald duiscusses our sun and its future and exoplanets around different  star types, how we are able to measure things such as atmospheric conditions of planets trillions of miles away.",https://www.youtube.com/watch?v=0zAo_CXPncY
c,cool worlds channel,,"Excellent source of videos from the  Department of Astronomy, Columbia University.  Mostly hosted by Professor David Kipping, with plenty of animation, thought provoking ideas and technical explanations on the probability of their fruition.",https://www.youtube.com/channel/UCGHZpIpAWJQ-Jy_CeCdXhMA
c,PBS Space Time,,Relatively short videos delving into current and classic physics while providing explanations for some amazing phenomena and theories.  ,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g
