star,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_flux,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,gal_lat,gal_long,distance,habit_code,planet,inhabit code
GJ 1061 c,GJ 1061,c,1,3,0,Radial Velocity,2020,Ground,La Silla Observatory,6.689,1.18,1.74,5.82,0.2,,M5.5 V,2953,0.16,0.12,-2.77,,7,,-52.90489,251.8698,3.67278,0,GJ 1061 c,1
GJ 1061 d,GJ 1061,d,1,3,0,Radial Velocity,2020,Ground,La Silla Observatory,13.031,1.16,1.64,5.77,0.1,,M5.5 V,2953,0.16,0.12,-2.77,,7,,-52.90489,251.8698,3.67278,0,GJ 1061 d,1
GJ 163 c,GJ 163,c,1,3,0,Radial Velocity,2013,Ground,La Silla Observatory,25.63058,2.5,6.8,2.39,,,,,,,,,,,-45.32366,262.7818,15.1285,0,GJ 163 c,2
GJ 180 c,GJ 180,c,1,3,0,Radial Velocity,2014,Ground,Multiple Observatories,24.329,2.41,6.4,2.51,,,M2 V,3371,,0.43,-1.886,,,,-33.7281,216.9657,11.9407,0,GJ 180 c,2
GJ 229 A c,GJ 229,c,2,2,0,Radial Velocity,2020,Ground,Multiple Facilities,121.995,2.6,7.268,2.27,,,,,,0.58,,,,,-18.43918,228.6123,5.75624,0,GJ 229 A c,2
GJ 273 b,GJ 273,b,1,2,0,Radial Velocity,2017,Ground,La Silla Observatory,18.6498,1.51,2.89,4.61,,,M3.5,3382,0.29,0.29,-2.056,,,,10.37354,212.3446,5.921535,0,GJ 273 b,1
GJ 3293 d,GJ 3293,d,1,4,0,Radial Velocity,2017,Ground,La Silla Observatory,48.1345,2.67,7.6,2.19,,,M2.5,3466,0.4,0.42,-1.658,,,,-41.61211,223.5389,20.1903,0,GJ 3293 d,2
GJ 357 d,GJ 357,d,1,3,0,Radial Velocity,2019,Multiple Locales,Multiple Observatories,55.661,2.34,6.1,2.62,0.01,220,M2.5 V,3505,0.34,0.34,-1.798,4.94,,13.6,22.08297,253.8847,9.44181,0,GJ 357 d,2
GJ 667 C c,GJ 667 C,c,3,5,0,Radial Velocity,2011,Ground,La Silla Observatory,28.14,1.77,3.8,3.77,,,M1.5 V,3350,,0.33,-1.863,4.69,2,,1.414543,351.8396,7.24396,0,GJ 667 C c,1
GJ 667 C e,GJ 667 C,e,3,5,0,Radial Velocity,2013,Ground,La Silla Observatory,62.24,1.45,2.7,4.87,,,M1.5 V,3350,,0.33,-1.863,4.69,2,,1.414543,351.8396,7.24396,0,GJ 667 C e,1
GJ 667 C f,GJ 667 C,f,3,5,0,Radial Velocity,2013,Ground,La Silla Observatory,39.026,1.45,2.7,4.87,,,M1.5 V,3350,,0.33,-1.863,4.69,2,,1.414543,351.8396,7.24396,0,GJ 667 C f,1
GJ 682 b,GJ 682,b,1,2,0,Radial Velocity,2014,Ground,Multiple Observatories,17.478,1.93,4.4,3.36,,,M3.5 V,3028,,0.27,-2.699,,,,-6.634735,345.9857,5.00671,0,GJ 682 b,1
GJ 832 c,GJ 832,c,1,2,0,Radial Velocity,2014,Ground,Multiple Observatories,35.68,2.18,5.4,2.86,,,,3472,,0.45,-1.585,4.7,,,-46.34961,349.1731,4.96435,0,GJ 832 c,2
HD 40307 g,HD 40307,g,1,5,0,Radial Velocity,2013,Ground,La Silla Observatory,197.8,2.56,7.1,2.33,,255,K2.5 V,4956,0.72,0.77,-0.639,4.47,4.5,3.02559,-30.34041,268.8143,12.9363,0,HD 40307 g,2
K2-18 b,K2-18,b,1,2,0,Transit,2015,Space,K2,32.939623,2.37,8.92,4.11,0.08,284,M2.5 V,3457,0.41,0.36,-1.66,4.79,,7.07318,62.57575,254.6324,38.0266,0,K2-18 b,2
K2-288 B b,K2-288 B,b,2,1,0,Transit,2018,Space,K2,31.393463,1.9,4.27,3.42,,226,M3 V,3341,0.32,0.33,-1.93,4.96,1,14.2,-28.64084,169.9987,65.6138,0,K2-288 B b,2
K2-3 d,K2-3,d,1,3,0,Transit,2015,Space,K2,44.55646,1.53,2.8,5.62,0.24,282,M0.0&plusmn0.5 V,3896,0.56,0.6,-1.15,4.73,1,5.05,55.25014,264.9866,44.0727,0,K2-3 d,2
K2-72 e,K2-72,e,1,4,0,Transit,2016,Space,K2,24.158868,1.29,2.21,5.66,0.2,,,3360.47,0.33,0.27,-1.837,4.9,,12.2977,-49.93976,51.45996,66.4321,0,K2-72 e,1
K2-9 b,K2-9,b,1,1,0,Transit,2015,Space,K2,18.4498,2.25,5.69,2.74,1.59,314,M2.5 V,3390,0.31,0.3,-1.921,4.82,1,9.88,58.53508,269.7595,82.9631,0,K2-9 b,2
Kepler-1090 b,Kepler-1090,b,1,1,0,Transit,2016,Space,Kepler,198.680179,2.25,5.69,2.74,0.13,297,,5321,0.82,0.86,-0.146,4.55,4.37,2.67261,10.31966,77.9698,858.77,0,Kepler-1090 b,2
Kepler-1229 b,Kepler-1229,b,1,1,0,Transit,2016,Space,Kepler,86.828989,1.4,2.54,6.13,0.05,212,,3784,0.51,0.54,-1.533,4.75,3.72,4.35164,10.38027,80.79415,265.482,0,Kepler-1229 b,1
Kepler-1410 b,Kepler-1410,b,1,1,0,Transit,2016,Space,Kepler,60.866168,1.78,3.82,4.63,0.11,290,,4092,0.6,0.63,-1.158,4.67,4.07,3.25,11.12526,70.94994,,0,Kepler-1410 b,2
Kepler-1540 b,Kepler-1540,b,2,1,0,Transit,2016,Space,Kepler,125.4131177,2.49,6.76,2.41,0.02,266,,4540,0.69,0.74,-0.818,4.63,2.51,107.44923,17.13917,70.99509,244.96,0,Kepler-1540 b,2
Kepler-1544 b,Kepler-1544,b,1,1,0,Transit,2016,Space,Kepler,168.811174,1.78,3.82,2.9,0.02,269,,4886,0.74,0.81,-0.606,4.61,2.34,2.06,11.56066,82.70917,335.09,0,Kepler-1544 b,2
Kepler-1606 b,Kepler-1606,b,1,1,0,Transit,2016,Space,Kepler,196.435224,2.07,4.94,1.67,0.07,324,,5422,0.86,0.9,-0.171,4.53,4.27,1.19,15.75381,73.68233,831.287,0,Kepler-1606 b,2
Kepler-1632 b,Kepler-1632,b,1,1,0,Transit,2016,Space,Kepler,448.303558,2.47,6.66,2.43,0.15,369,,6137,1.19,1.12,0.258,4.33,3.09,1.02941,10.77498,77.02204,716.76,0,Kepler-1632 b,2
Kepler-1638 b,Kepler-1638,b,1,1,0,Transit,2016,Space,Kepler,259.33683,1.87,4.16,0.56,0.21,304,,5710,0.95,0.97,-0.114,4.47,4.37,0.40427,12.28816,81.52165,1525.52,0,Kepler-1638 b,2
Kepler-1649 c,Kepler-1649,c,1,2,0,Transit,2020,Space,Kepler,19.53527,1.06,1.2,5.54,0.03,234,,3240,0.23,0.2,-2.287,5,,72.24881,11.12853,74.45675,92.1913,0,Kepler-1649 c,1
Kepler-1652 b,Kepler-1652,b,1,1,0,Transit,2017,Space,Kepler,38.09722,1.6,3.19,9.9,0.16,268,,3638,0.38,0.4,-1.638,4.88,3.2,7.05,13.56507,82.45905,,0,Kepler-1652 b,2
