name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,habzone,temp_c,temp_f,temp_class,type,disc_facility,disc_method,star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
11 Com b,11 Com,b,2007,326.03,12.1,"484,365","300,989",6165.6,3.4664,,0.0,0.0,,,Hot,Jovian,Xinglong Station,Radial Velocity,11 Com,G8 III,4742,19,2.7,2.243,2.31,,,78.28055,264.1407,93.1846,2,1,0
11 UMi b,11 UMi,b,2009,516.22,12.3,"492,371","305,964",4684.8,2.5045,,0.0,0.0,,,Hot,Jovian,Thueringer Landessternwarte Tautenburg,Radial Velocity,11 UMi,K4 III,4213,29.79,2.78,2.4,1.93,1.56,,41.04441,108.719,125.321,1,1,0
14 And b,14 And,b,2008,185.84,12.9,"516,389","320,889",1525.5,0.7078,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,14 And,K0 III,4813,11,2.2,1.763,2.63,,,-21.05067,106.4116,75.4392,1,1,0
14 Her b,14 Her,b,2002,1773.4,12.9,"516,389","320,889",1481.1,0.6878,,0.0,0.0,,,Cold,Jovian,W. M. Keck Observatory,Radial Velocity,14 Her,K0 V,5338,0.93,0.9,-0.153,4.45,3.9,1.27393,46.94491,69.17043,17.9323,1,1,0
16 Cyg B b,16 Cyg B,b,1996,798.5,13.5,"540,407","335,814",565.7,0.2287,,0.0,2.0,,,Warm,Jovian,Multiple Observatories,Radial Velocity,16 Cyg B,G3 V,5750,1.13,1.08,0.097,4.36,,1.01103,13.20426,83.33649,21.1397,3,1,0
18 Del b,18 Del,b,2008,993.3,12.5,"500,377","310,939",3273.5,1.6715,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,18 Del,G6 III,4979,8.5,2.3,1.602,2.82,,,-21.97489,58.69147,76.222,2,1,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,2008,,18.647,"746,443","463,847",3000.0,0.461,,0.0,0.0,1427.0,2601.0,,Jovian,Gemini Observatory,Imaging,1RXS J160929.1-210524,K7 V,4060,1.31,0.85,-0.37,4,0.005,0.38789,22.03035,352.8906,139.135,1,1,0
24 Boo b,24 Boo,b,2018,30.35,13.9,"556,419","345,764",289.2,0.1074,,0.0,0.0,,,Hot,Jovian,Okayama Astrophysical Observatory,Radial Velocity,24 Boo,G3 IV,4893,10.64,0.99,1.774,2.42,6.92,,60.64358,90.16227,95.9863,1,1,0
24 Sex b,24 Sex,b,2010,452.8,13.4,"536,404","333,327",632.5,0.2613,,0.0,0.0,,,Hot,Jovian,Lick Observatory,Radial Velocity,24 Sex,,5098,4.9,1.54,1.164,3.5,2.7,,44.7157,245.0853,72.0691,1,2,0
24 Sex c,24 Sex,c,2010,883.0,13.9,"556,419","345,764",273.3,0.1015,,0.0,0.0,,,Hot,Jovian,Lick Observatory,Radial Velocity,24 Sex,,5098,4.9,1.54,1.164,3.5,2.7,,44.7157,245.0853,72.0691,1,2,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2013,,12.3,"492,371","305,964",4131.8,2.2142,,0.0,,,,,,Paranal Observatory,Imaging,2MASS J01033563-5515561 A,M5.5/M6,,,0.19,,,0.03,,-61.77612,299.2698,,2,1,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,2013,,11.209,"448,698","278,825",7786.5,5.5172,,0.0,0.0,1327.0,2421.0,,Jovian,W. M. Keck Observatory,Imaging,2MASS J01225093-2439505,M3.5 V,3530,0.37,0.4,-1.72,4.86,0.12,10.11868,-82.52019,195.4486,33.8281,1,1,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,2015,,16.141,"646,127","401,509",4417.8,1.0472,,0.0,0.0,,,Cold,Jovian,Cerro Tololo Inter-American Observatory,Imaging,2MASS J02192210-3925225,M6,3064,0.28,0.11,-2.23,4.59,0.035,,-67.98402,252.4534,,1,1,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,2010,,12.6,"504,380","313,427",2383.6,1.1887,,0.0,0.0,,,,Jovian,Hubble Space Telescope,Imaging,2MASS J04414489+2301513,M8.5,,,0.02,,,0.001,,-15.11435,176.5106,,1,1,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,2004,,13.0,"520,392","323,377",1271.0,0.5771,,0.0,0.0,877.0,1611.0,,Jovian,Paranal Observatory,Imaging,2MASS J12073346-3932539,M8,2825,0.22,0.19,-2.561,5.03,0.008,25.27945,22.54324,293.7904,64.308,1,1,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2015,416.0,13.4,"536,404","333,327",603.9,0.2505,,0.0,0.0,,,,Jovian,Kepler,Eclipse Timing Variations,2MASS J19383260+4603591,,,,0.48,,,,,11.67429,79.01876,396.332,2,1,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,2009,7336.5,10.31,"412,711","256,463",6657.5,6.0617,,0.0,0.0,1802.0,3276.0,Cold,Jovian,W. M. Keck Observatory,Imaging,2MASS J21402931+1625183 A,M8.5,2300,0.12,0.08,-3.48,,,,-26.43736,70.48455,,1,1,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,2016,,12.3,"492,371","305,964",3972.9,2.1234,,0.0,0.0,,,,Jovian,W. M. Keck Observatory,Imaging,2MASS J22362452+4751425,K7 V,4045,,0.6,,,0.12,,-9.108981,100.7483,69.5737,1,1,0
30 Ari B b,30 Ari B,b,2009,335.1,12.3,"492,371","305,964",4392.4,2.3593,,0.0,0.0,,,Hot,Jovian,Thueringer Landessternwarte Tautenburg,Radial Velocity,30 Ari B,F6 V,6331,1.41,1.93,0.46,4.43,0.91,,-32.30954,151.4761,44.657,4,1,0
4 UMa b,4 UMa,b,2006,269.3,12.7,"508,383","315,914",2256.5,1.098,,0.0,0.0,,,Hot,Jovian,Thueringer Landessternwarte Tautenburg,Radial Velocity,4 UMa,K1 III,4415,18.11,1.23,2.05,1.8,4.604,,35.95683,151.3589,73.4603,1,1,0
42 Dra b,42 Dra,b,2008,479.1,13.0,"520,392","323,377",1233.1,0.559,,0.0,0.0,,,Hot,Jovian,Thueringer Landessternwarte Tautenburg,Radial Velocity,42 Dra,K1.5 III,4200,22.03,0.98,2.13,1.71,9.49,,27.1255,95.41918,90.6545,2,1,0
47 UMa b,47 UMa,b,1996,1078.0,13.2,"528,398","328,352",804.1,0.3485,,0.0,2.0,,,Warm,Jovian,Lick Observatory,Radial Velocity,47 UMa,G0 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,1,3,0
47 UMa c,47 UMa,c,2001,2391.0,14.2,"568,428","353,227",171.6,0.0597,,0.0,0.0,,,Cold,Jovian,Lick Observatory,Radial Velocity,47 UMa,G0 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,1,3,0
47 UMa d,47 UMa,d,2009,14002.0,13.5,"540,407","335,814",521.2,0.2105,,0.0,0.0,,,Cold,Jovian,Lick Observatory,Radial Velocity,47 UMa,G0 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,1,3,0
51 Eri b,51 Eri,b,2015,11688.0,13.4,"536,404","333,327",635.7,0.2632,,0.0,0.0,427.0,801.0,,,Gemini Observatory,Imaging,51 Eri,F0 IV,7295,1.49,1.65,0.752,4.31,0.02,0.70712,-30.65766,198.6126,29.7575,3,1,0
