name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
11 Com b,11 Com,b,2007,326.03,12.1,,"484,365",6165.6,3.4664,,0,,"300,989",Xinglong Station,Radial Velocity
11 UMi b,11 UMi,b,2009,516.22,12.3,,"492,371",4684.8,2.5045,,0,,"305,964",Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And b,14 And,b,2008,185.84,12.9,,"516,389",1525.5,0.7078,,0,,"320,889",Okayama Astrophysical Observatory,Radial Velocity
14 Her b,14 Her,b,2002,1773.4,12.9,,"516,389",1481.1,0.6878,,0,,"320,889",W. M. Keck Observatory,Radial Velocity
16 Cyg B b,16 Cyg B,b,1996,798.5,13.5,,"540,407",565.7,0.2287,,0,,"335,814",Multiple Observatories,Radial Velocity
18 Del b,18 Del,b,2008,993.3,12.5,,"500,377",3273.5,1.6715,,0,,"310,939",Okayama Astrophysical Observatory,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,2008,,18.647,3118.0,"746,443",3000.0,0.461,1912.0,0,,"463,847",Gemini Observatory,Imaging
24 Boo b,24 Boo,b,2018,30.35,13.9,,"556,419",289.2,0.1074,,0,,"345,764",Okayama Astrophysical Observatory,Radial Velocity
24 Sex b,24 Sex,b,2010,452.8,13.4,,"536,404",632.5,0.2613,,0,,"333,327",Lick Observatory,Radial Velocity
24 Sex c,24 Sex,c,2010,883.0,13.9,,"556,419",273.3,0.1015,,0,,"345,764",Lick Observatory,Radial Velocity
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2013,,12.3,,"492,371",4131.8,2.2142,,0,,"305,964",Paranal Observatory,Imaging
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,2013,,11.209,2938.0,"448,698",7786.5,5.5172,1812.0,0,,"278,825",W. M. Keck Observatory,Imaging
