exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRtAsc,StarDistance
16 Cyg B b,565.73385,13.421749,Warm,Radial Velocity,1996,Swan,1,1,9/6/2018,295.46655,21.15
47 UMa b,804.10485,13.215704,Warm,Radial Velocity,1996,Big Bear,1,1,5/14/2014,164.86656,13.8
55 Cnc f,44.813748,7.5885086,Warm,Radial Velocity,2007,Crab,1,1,10/29/2014,133.14922,12.59
7 CMa b,781.85689,13.232029,Warm,Radial Velocity,2011,Big Dog,1,1,10/22/2015,99.17099,19.82
BD+14 4559 b,330.54112,13.742892,Warm,Radial Velocity,2009,Winged Horse,1,1,9/6/2018,318.39996,49.42
BD-06 1339 c,54.03076,8.47229,Warm,Radial Velocity,2013,Hunter,1,1,5/14/2014,88.251183,20.28
BD-08 2823 c,104.88324,12.521925,Warm,Radial Velocity,2009,Sextant,1,1,5/14/2014,150.19884,41.38
GJ 1061 c,1.75,1.1783333,Warm,Radial Velocity,2019,Pendulum Clock,1,0,9/3/2019,53.998749,3.69
GJ 1061 d,1.68,1.164989,Warm,Radial Velocity,2019,Pendulum Clock,1,1,9/3/2019,53.998749,3.69
GJ 1148 b,96.69917,11.936835,Warm,Radial Velocity,2010,Big Bear,1,1,10/19/2017,175.43597,11.02
GJ 163 c,6.8015193,2.4996552,Warm,Radial Velocity,2013,Goldfish,1,0,1/26/2017,62.315273,15.14
GJ 273 b,2.8890565,1.5095953,Warm,Radial Velocity,2017,Little Dog,1,0,3/30/2017,111.85208,3.8
GJ 3293 b,23.538342,5.1933932,Warm,Radial Velocity,2015,River,1,0,3/30/2017,67.14882,20.2
GJ 3293 d,7.5992676,2.6683929,Warm,Radial Velocity,2017,River,1,1,3/30/2017,67.14882,20.2
GJ 3323 b,2.0213861,1.2266953,Warm,Radial Velocity,2017,River,1,0,3/30/2017,75.48928,5.32
GJ 357 d,6.0991194,2.3442156,Warm,Radial Velocity,2019,Water Snake,1,1,8/1/2019,144.00682,9.44
GJ 667 C c,3.813936,1.777887,Warm,Radial Velocity,2011,Scorpion,1,0,5/14/2014,259.74509,6.8
GJ 667 C e,2.542624,1.4001882,Warm,Radial Velocity,2013,Scorpion,1,1,5/14/2014,259.74509,6.8
GJ 667 C f,2.542624,1.4001882,Warm,Radial Velocity,2013,Scorpion,1,1,5/14/2014,259.74509,6.8
GJ 687 b,19.06968,4.5877261,Warm,Radial Velocity,2014,Dragon,1,1,9/6/2018,264.10791,4.55
GJ 832 c,5.403076,2.182734,Warm,Radial Velocity,2014,Crane,1,0,6/25/2014,323.39157,4.97
HAT-P-13 c,4538.5839,12.246714,Warm,Radial Velocity,2009,Big Bear,1,0,1/31/2019,129.88254,214
