exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRadius
GJ 163 c,6.8015193,2.4996552,Warm,Radial Velocity,2013,Goldfish,1,0,1/26/2017,185.17928
GJ 3293 d,7.5992676,2.6683929,Warm,Radial Velocity,2017,River,1,1,3/30/2017,229.27454
GJ 357 d,6.0991194,2.3442156,Warm,Radial Velocity,2019,Water Snake,1,1,8/1/2019,352.82257
GJ 832 c,5.403076,2.182734,Warm,Radial Velocity,2014,Crane,1,0,6/25/2014,242.6013
HD 40307 g,7.0875645,2.5610495,Warm,Radial Velocity,2013,Painter's Easel,1,1,5/14/2014,295.46655
K2-18 b,8.921432,2.36531,Warm,Transit,2015,Lion,1,0,3/21/2019,314.60806
K2-288 B b,4.2910395,1.9057,Warm,Transit,2018,Bull,1,1,1/10/2019,242.37627
K2-3 d,2.9012671,1.51335,Warm,Transit,2015,Lion,1,0,7/7/2016,217.15755
K2-9 b,5.702589,2.25321,Warm,Transit,2015,Virgin,1,0,1/21/2016,155.86821
Kepler-1090 b,5.702589,2.25321,Warm,Transit,2016,Swan,1,0,5/10/2016,155.86821
Kepler-1410 b,3.8303511,1.78239,Warm,Transit,2016,Lyre,1,0,5/10/2016,20.712243
Kepler-1540 b,6.7506189,2.48862,Warm,Transit,2016,Lyre,1,1,5/10/2016,34.842106
Kepler-1544 b,3.8303511,1.78239,Warm,Transit,2016,Swan,1,1,5/10/2016,70.437073
Kepler-1552 b,6.6476898,2.4662,Warm,Transit,2016,Lyre,1,1,5/10/2016,181.88945
Kepler-1606 b,4.9534779,2.07385,Warm,Transit,2016,Lyre,1,0,5/10/2016,294.63587
Kepler-1632 b,6.6476898,2.4662,Warm,Transit,2016,Swan,1,0,5/10/2016,325.12216
Kepler-1638 b,4.1632686,1.87207,Warm,Transit,2016,Swan,1,0,5/10/2016,339.1022
Kepler-1652 b,3.1991632,1.60303,Warm,Transit,2017,Swan,1,1,11/16/2017,39.240585
Kepler-1653 b,5.369523,2.17474,Warm,Transit,2017,Swan,1,1,11/16/2017,130.05341
Kepler-174 d,5.4165988,2.18595,Warm,Transit,2014,Lyre,1,1,5/14/2014,276.4964
Kepler-22 b,6.2425017,2.37652,Warm,Transit,2011,Swan,1,1,5/14/2014,164.86656
Kepler-26 e,6.3932195,2.41015,Warm,Transit,2014,Lyre,1,0,5/14/2014,164.86656
Kepler-283 c,3.9538581,1.81602,Warm,Transit,2014,Swan,1,1,5/14/2014,164.86656
Kepler-296 e,2.9378483,1.52456,Warm,Transit,2014,Dragon,1,0,9/3/2015,69.400551
Kepler-296 f,3.9125102,1.80481,Warm,Transit,2014,Dragon,1,1,9/3/2015,344.36658
Kepler-298 d,6.8023267,2.49983,Warm,Transit,2014,Dragon,1,0,5/14/2014,133.14922
Kepler-440 b,4.2910395,1.9057,Warm,Transit,2015,Lyre,1,0,1/6/2015,133.14922
Kepler-443 b,6.1428456,2.3541,Warm,Transit,2015,Swan,1,1,1/6/2015,133.14922
Kepler-452 b,3.2754986,1.62545,Warm,Transit,2015,Swan,1,1,7/23/2015,133.14922
Kepler-61 b,5.2758784,2.15232,Warm,Transit,2013,Swan,1,0,5/14/2014,133.14922
Kepler-62 e,3.2372384,1.61424,Warm,Transit,2013,Lyre,1,0,5/14/2014,97.696281
Kepler-705 b,5.0906262,2.10748,Warm,Transit,2016,Lyre,1,1,5/10/2016,199.60132
LHS 1140 b,6.9795029,1.72634,Warm,Transit,2017,Whale,1,1,12/6/2018,199.60132
K2-296 b,4.1554556,1.87,Warm,Transit,2019,Virgin,1,0,5/23/2019,199.60132
GJ 273 b,2.8890565,1.5095953,Warm,Radial Velocity,2017,Little Dog,1,0,3/30/2017,99.17099
GJ 3323 b,2.0213861,1.2266953,Warm,Radial Velocity,2017,River,1,0,3/30/2017,202.10754
GJ 667 C c,3.813936,1.777887,Warm,Radial Velocity,2011,Scorpion,1,0,5/14/2014,38.039253
GJ 667 C e,2.542624,1.4001882,Warm,Radial Velocity,2013,Scorpion,1,1,5/14/2014,224.20148
GJ 667 C f,2.542624,1.4001882,Warm,Radial Velocity,2013,Scorpion,1,1,5/14/2014,39.424168
K2-72 e,2.2098374,1.28915,Warm,Transit,2016,Water Carrier,1,0,10/26/2017,348.9729
Kepler-1229 b,2.5458987,1.40125,Warm,Transit,2016,Swan,1,1,5/10/2016,94.803802
Kepler-186 f,1.6844027,1.16584,Warm,Transit,2014,Swan,1,1,1/14/2015,177.5648
Kepler-442 b,2.3754251,1.3452,Warm,Transit,2015,Lyre,1,1,1/6/2015,318.39996
Kepler-62 f,2.5805743,1.41246,Warm,Transit,2013,Lyre,1,1,5/14/2014,176.48217
Proxima Cen b,1.271312,1.0778216,Warm,Radial Velocity,2016,Centaur,1,1,8/25/2016,240.09557
TRAPPIST-1 d,0.40999812,0.77349,Warm,Transit,2016,Water Carrier,1,0,2/22/2017,154.18691
TRAPPIST-1 e,0.61976461,0.91922,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,154.18691
TRAPPIST-1 f,0.68015193,1.04253,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,25.920324
TRAPPIST-1 g,1.3412342,1.13221,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,53.650967
Teegarden's Star b,1.0488324,1.0214981,Warm,Radial Velocity,2019,Ram,1,0,6/27/2019,40.710224
Teegarden's Star c,1.1092197,1.0375773,Warm,Radial Velocity,2019,Ram,1,1,6/27/2019,40.742569
Wolf 1061 c,3.4102945,1.6645224,Warm,Radial Velocity,2015,Serpent Holder,1,0,3/30/2017,45.640529
tau Cet e,3.9315324,1.8099732,Warm,Radial Velocity,2017,Whale,1,0,8/17/2017,88.251183
GJ 1061 c,1.75,1.1783333,Warm,Radial Velocity,2019,Pendulum Clock,1,0,9/3/2019,88.251183
GJ 1061 d,1.68,1.164989,Warm,Radial Velocity,2019,Pendulum Clock,1,1,9/3/2019,150.19884
16 Cyg B b,565.73385,13.421749,Warm,Radial Velocity,1996,Swan,1,1,9/6/2018,150.19884
47 UMa b,804.10485,13.215704,Warm,Radial Velocity,1996,Big Bear,1,1,5/14/2014,164.62
55 Cnc f,44.813748,7.5885086,Warm,Radial Velocity,2007,Crab,1,1,10/29/2014,278.37015
7 CMa b,781.85689,13.232029,Warm,Radial Velocity,2011,Big Dog,1,1,10/22/2015,114.28846
BD+14 4559 b,330.54112,13.742892,Warm,Radial Velocity,2009,Winged Horse,1,1,9/6/2018,7.142942
BD-06 1339 c,54.03076,8.47229,Warm,Radial Velocity,2013,Hunter,1,1,5/14/2014,224.62083
BD-08 2823 c,104.88324,12.521925,Warm,Radial Velocity,2009,Sextant,1,1,5/14/2014,166.61989
GJ 1148 b,96.69917,11.936835,Warm,Radial Velocity,2010,Big Bear,1,1,10/19/2017,68.466728
GJ 3293 b,23.538342,5.1933932,Warm,Radial Velocity,2015,River,1,0,3/30/2017,166.03788
GJ 687 b,19.06968,4.5877261,Warm,Radial Velocity,2014,Dragon,1,1,9/6/2018,102.07989
HAT-P-13 c,4538.5839,12.246714,Warm,Radial Velocity,2009,Big Bear,1,0,1/31/2019,291.06371
HD 100777 b,327.36284,13.748735,Warm,Radial Velocity,2007,Lion,1,1,9/6/2018,280.68726
HD 10180 g,23.26501,5.1577873,Warm,Radial Velocity,2010,Little Water Snake,1,1,6/25/2015,100.76568
HD 10442 b,472.61024,13.528384,Warm,Radial Velocity,2014,Fishes,1,1,12/6/2018,102.72114
HD 106270 b,3219.5977,12.433139,Warm,Radial Velocity,2011,Virgin,1,1,12/6/2018,103.42421
HD 10647 b,298.75832,13.804159,Warm,Radial Velocity,2006,River,1,1,5/14/2014,278.52469
HD 10697 b,2028.6961,12.68839,Warm,Radial Velocity,1999,Fishes,1,1,12/6/2018,278.69925
HD 108874 b,451.31576,13.555855,Warm,Radial Velocity,2002,Berenice's Hair,1,1,9/6/2018,98.17241
HD 111998 b,1433.4043,12.883796,Warm,Radial Velocity,2016,Virgin,1,1,9/8/2016,97.033582
HD 114729 b,262.2081,13.883649,Warm,Radial Velocity,2002,Centaur,1,1,6/27/2019,291.77706
HD 125612 b,985.26681,13.098082,Warm,Radial Velocity,2007,Virgin,1,1,9/27/2018,97.720408
HD 128356 b,282.86692,13.837399,Warm,Radial Velocity,2016,Water Snake,1,1,11/10/2016,97.720408
HD 132406 b,1709.9147,12.784189,Warm,Radial Velocity,2007,Herdsman,1,1,9/6/2018,101.05245
HD 133131 A b,451.31576,13.555855,Warm,Radial Velocity,2016,Scales,1,1,9/8/2016,280.66712
HD 137388 b,63.565601,9.3233728,Warm,Radial Velocity,2011,Bird of Paradise,1,1,9/6/2018,279.78262
HD 13908 c,1630.4577,12.810983,Warm,Radial Velocity,2013,Cassiopeia,1,1,5/14/2014,101.92255
HD 141937 b,3079.7533,12.457456,Warm,Radial Velocity,2002,Scales,1,1,9/6/2018,101.92255
HD 142245 b,975.73197,13.103687,Warm,Radial Velocity,2011,Serpent,1,0,9/6/2018,280.62966
HD 142415 b,530.77276,13.459474,Warm,Radial Velocity,2003,Level,1,1,9/6/2018,279.75051
HD 147513 b,384.57188,13.651647,Warm,Radial Velocity,2003,Scorpion,1,1,1/31/2019,278.49581
HD 153950 b,937.59261,13.126696,Warm,Radial Velocity,2008,Scorpion,1,1,9/6/2018,278.68834
HD 156411 b,235.19272,13.950232,Warm,Radial Velocity,2009,Altar,1,0,6/25/2014,278.9021
HD 159868 b,704.94251,13.292458,Warm,Radial Velocity,2006,Scorpion,1,1,12/6/2018,292.05526
HD 1605 c,1150.5374,13.009015,Warm,Radial Velocity,2015,Andromeda,1,1,9/27/2018,102.19466
HD 16175 b,1620.9228,12.814289,Warm,Radial Velocity,2009,Andromeda,1,1,9/6/2018,101.27725
HD 163607 c,699.53943,13.296959,Warm,Radial Velocity,2010,Dragon,1,1,12/6/2018,281.07252
HD 164509 b,140.79781,14.268747,Warm,Radial Velocity,2010,Serpent Holder,1,0,9/27/2018,100.95613
