star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
11 Com,G8 III,4742,19,2.7,2.243,2.31,,,78.28055,264.1407,93.1846,2,1,0
11 UMi,K4 III,4213,29.79,2.78,2.4,1.93,1.56,,41.04441,108.719,125.321,1,1,0
14 And,K0 III,4813,11,2.2,1.763,2.63,,,-21.05067,106.4116,75.4392,1,1,0
14 Her,K0 V,5338,0.93,0.9,-0.153,4.45,3.9,1.27393,46.94491,69.17043,17.9323,1,1,0
16 Cyg B,G3 V,5750,1.13,1.08,0.097,4.36,,1.01103,13.20426,83.33649,21.1397,3,1,0
18 Del,G6 III,4979,8.5,2.3,1.602,2.82,,,-21.97489,58.69147,76.222,2,1,0
1RXS J160929.1-210524,K7 V,4060,1.31,0.85,-0.37,4,0.005,0.38789,22.03035,352.8906,139.135,1,1,0
24 Boo,G3 IV,4893,10.64,0.99,1.774,2.42,6.92,,60.64358,90.16227,95.9863,1,1,0
24 Sex,,5098,4.9,1.54,1.164,3.5,2.7,,44.7157,245.0853,72.0691,1,2,0
2MASS J01033563-5515561 A,M5.5/M6,,,0.19,,,0.03,,-61.77612,299.2698,,2,1,0
2MASS J01225093-2439505,M3.5 V,3530,0.37,0.4,-1.72,4.86,0.12,10.11868,-82.52019,195.4486,33.8281,1,1,0
2MASS J02192210-3925225,M6,3064,0.28,0.11,-2.23,4.59,0.035,,-67.98402,252.4534,,1,1,0
2MASS J04414489+2301513,M8.5,,,0.02,,,0.001,,-15.11435,176.5106,,1,1,0
2MASS J12073346-3932539,M8,2825,0.22,0.19,-2.561,5.03,0.008,25.27945,22.54324,293.7904,64.308,1,1,0
2MASS J19383260+4603591,,,,0.48,,,,,11.67429,79.01876,396.332,2,1,0
2MASS J21402931+1625183 A,M8.5,2300,0.12,0.08,-3.48,,,,-26.43736,70.48455,,1,1,0
2MASS J22362452+4751425,K7 V,4045,,0.6,,,0.12,,-9.108981,100.7483,69.5737,1,1,0
30 Ari B,F6 V,6331,1.41,1.93,0.46,4.43,0.91,,-32.30954,151.4761,44.657,4,1,0
4 UMa,K1 III,4415,18.11,1.23,2.05,1.8,4.604,,35.95683,151.3589,73.4603,1,1,0
42 Dra,K1.5 III,4200,22.03,0.98,2.13,1.71,9.49,,27.1255,95.41918,90.6545,2,1,0
47 UMa,G0 V,5872,1.21,1.06,0.198,4.3,,0.83662,63.36906,175.7824,13.7967,1,3,0
51 Eri,F0 IV,7295,1.49,1.65,0.752,4.31,0.02,0.70712,-30.65766,198.6126,29.7575,3,1,0
51 Peg,,5758,1.18,1.03,0.136,4.31,10,0.89374,-34.72726,90.06264,15.4614,1,1,0
55 Cnc,K0 IV-V,5250,0.96,0.95,-0.197,4.42,5.5,1.41851,37.6989,196.7947,12.5855,2,5,0
6 Lyn,K0 IV,4938,5.2,1.44,1.176,3.19,,,20.18979,156.9714,54.6599,1,1,0
61 Vir,G5 V,5577,0.96,0.94,-0.095,4.34,8.96,,44.09261,311.8591,8.50332,1,3,0
7 CMa,K1 III,4826,4.87,1.34,1.063,3.19,4.3,,-11.79608,228.6884,19.8101,1,2,0
70 Vir,,5495,1.89,1.09,0.451,3.95,7.77,,74.10069,337.6654,17.9011,1,1,0
75 Cet,G3 III,4846,10.5,2.49,1.73,2.63,,,-54.4416,169.9442,82.9613,2,1,0
8 UMi,K0,4847,10.3,1.44,1.72,2.57,1.7,,39.66104,112.795,162.552,1,1,0
81 Cet,G5 III,4785,11,2.4,1.778,2.35,,,-55.24994,174.4865,101.26,1,1,0
91 Aqr,K0 III,4665,11,1.4,1.71,2.52,3.56,,-61.11204,67.07209,44.0304,3,1,0
AB Pic,K2 V,,,,,,0.03,,-26.9309,266.9437,50.0475,1,1,0
AU Mic,,3700,0.75,0.5,-1.046,,0.022,,-36.8025,12.65461,9.7221,1,1,0
BD+03 2562,,4095,32.35,1.14,2.7,1.89,5.2,,61.57347,269.3253,1070.63,1,1,0
BD+14 4559,K2 V,4864,0.86,0.49,-0.32,4.26,,,-22.63093,64.41769,49.352,1,1,0
BD+15 2375,,4649,8.95,1.08,1.57,2.61,7.41,,70.27257,249.0023,768.045,1,1,0
BD+15 2940,K0,4796,14.7,1.1,2.01,2.8,7.1,,44.78024,28.10452,426.42,1,1,0
BD+20 2457,K2 II,4259,71.02,10.83,3.17,1.77,,,53.95245,216.0446,1539.71,1,2,0
BD+20 274,K5 III,4296,17.3,0.8,1.96,1.99,,,-40.23344,138.9742,1322.51,1,1,0
BD+20 594,G,5766,1.08,1.67,-0.056,4.5,3.34,1.89,-28.05341,166.7963,179.461,1,1,0
BD+48 738,K0 III,4414,11,0.74,1.69,2.24,,,-9.378678,140.8085,871.493,1,1,0
BD+48 740,,4534,10.33,1.09,1.64,2.48,,,-9.965327,141.1091,666.589,1,1,0
BD+49 828,K0,4943,7.6,1.52,1.47,2.85,2.34,,-7.801708,143.6179,442.042,1,1,0
BD-06 1339,K7/M0 V,4324,,0.7,-1.022,4.74,4.4,,-15.71535,211.6566,20.2695,1,2,0
BD-08 2823,K3 V,4816,0.71,0.5,-0.611,4.43,4.5,,34.75598,248.4966,41.3342,1,2,0
BD-10 3166,K0 V,5393,0.91,1.47,-0.199,4.69,,,43.23842,263.2855,84.4069,1,1,0
BD-11 4672,K7 V,4550,0.64,0.65,-0.804,4.64,7.4,3.53,-1.360227,20.54434,27.1665,1,2,0
BD-13 2130,,4545,19.17,2.12,2.15,2.2,0.74,,3.53128,230.5205,925.214,1,1,0
BD-17 63,K5 V,4714,0.69,0.74,-0.678,4.26,4.3,,-77.878,95.83883,34.4603,1,1,0
CFBDSIR J145829+101343,,580.5,,0.02,,4.72,,,55.6550909,9.594193,,1,1,0
CHXR 73,M3.5,,,0.35,,,0.002,,-15.92177,297.2777,190.374,1,1,0
CI Tau,K7,,,0.9,-0.108,,0.003,,-16.63606,175.4643,157.998,1,1,0
CT Cha,,,,,,,0.002,,-14.90925,296.6537,190.72,1,1,0
CoRoT-1,G0 V,5950,1.11,0.95,0.144,4.25,1.6,0.93,-2.107101,215.3388,787.909,1,1,0
CoRoT-10,K1 V,5075,0.79,0.89,-0.428,4.65,3,3.32,-6.95296,37.36079,338.386,1,1,0
CoRoT-11,F6 V,6440,1.37,1.27,0.464,4.22,2,0.69,4.630068,37.24011,655.037,1,1,0
CoRoT-12,,5675,1.12,1.08,0.07,4.38,6.3,1.08,-2.454414,213.1315,1126.37,1,1,0
CoRoT-13,G0 V,5945,1.01,1.09,0.06,4.46,1.635,1.468,-2.439665,217.3986,1148.93,1,1,0
CoRoT-14,F9 V,6035,1.21,1.13,0.244,4.35,4.2,0.91,-2.020584,218.1179,1744.6,1,1,0
CoRoT-16,G5 V,5650,1.19,1.1,0.115,4.36,6.73,0.93,1.101121,25.61436,732.409,1,1,0
CoRoT-17,G2 V,5740,1.59,1.04,0.394,4.4,10.7,0.32,0.6663113,25.15303,1176.12,1,1,0
CoRoT-18,G9 V,5440,1,0.95,-0.17,4.4,0.032,1.35,-4.18491,210.8191,764.889,1,1,0
CoRoT-19,F9 V,6090,1.65,1.21,0.544,4.07,5,0.38,-5.261257,210.4205,790.663,1,1,0
CoRoT-2,,5625,0.91,0.96,-0.131,4.53,2.7,1.814,-7.291006,38.26271,213.283,2,1,0
CoRoT-20,G2 V,5880,1.02,1.14,0.17,4.35,0.1,1.51,-4.468593,210.3812,844.061,1,2,0
CoRoT-21,F8 IV,6200,1.95,1.29,0.705,3.7,4.1,0.255,-1.744431,212.3742,,1,1,0
CoRoT-22,G3 V,5939,1.14,1.1,0.161,4.36,3.3,1.027,4.775004,37.48306,627.158,1,1,0
CoRoT-23,G0 V,5900,1.61,1.14,0.452,4.3,7.2,0.5,4.719595,35.41752,1060.97,1,1,0
CoRoT-24,K1 V,4950,0.86,0.91,-0.397,4.55,11,,-2.527633,215.8175,591.555,1,2,0
CoRoT-25,F9,6040,1.19,1.09,0.231,4.31,4.5,,4.941121,37.73014,1103.48,1,1,0
CoRoT-26,G5,5590,1.79,1.09,0.451,3.99,8.6,,5.925996,37.74457,1045.18,1,1,0
CoRoT-27,G2,5900,1.08,1.05,0.106,4.4,4.21,1.24,6.396508,35.89459,1010.28,1,1,0
CoRoT-28,G8/9 IV,5150,1.78,1.01,0.303,3.6,12,0.27,6.241298,36.01308,766.183,1,1,0
CoRoT-29,K0 V,5260,0.9,0.97,-0.094,4.3,4.5,1.825,6.458735,36.92342,806.507,1,1,0
CoRoT-3,F3 V,6740,1.56,1.37,0.656,4.22,2.2,0.431,-8.120639,37.26301,768.771,1,1,0
CoRoT-30,G3 V,5650,0.91,0.98,-0.118,4.4,3,,7.773544,36.66097,1032.23,1,1,0
CoRoT-31,G2 IV,5700,2.15,1.25,0.644,3.85,4.7,,-9.16321,213.2249,2005.76,1,1,0
CoRoT-4,,6190,1.17,1.16,0.258,4.41,1,1.11,-0.8984463,213.2276,726.412,1,1,0
CoRoT-5,F9 V,6100,1.19,1,0.18,4.19,6.9,1.01,-1.036167,211.4847,882.472,1,1,0
CoRoT-6,F9 V,6090,1.02,1.05,0.115,4.43,2.5,1.31,4.61582,38.06303,645.294,1,1,0
CoRoT-7,G9 V,5275,0.83,0.82,-0.289,4.5,1.75,2,-2.178573,213.0104,159.906,1,2,0
CoRoT-8,K1 V,5080,0.77,0.88,-0.4,4.58,3,2.7,-7.104142,38.21296,322.037,1,1,0
CoRoT-9,G3 V,5625,0.96,0.96,-0.08,4.54,6,1.51,4.662142,37.52343,412.98,2,1,0
CoRoTID 223977153,G0 VI,5970,0.79,1.08,-0.155,4.67,,,1.86374,203.4824,576.683,1,1,0
DE CVn,,,,0.51,,,,,70.27699,104.2862,30.5225,2,1,0
DENIS-P J082303.1-491201,L1.5,,,0.07,,,1,,-6.826685,265.6164,,1,1,0
DH Tau,M0.5,4371,0.27,0.33,-0.212,4,0.001,0.37705,-14.93884,171.8995,134.846,1,1,0
DMPP-1,F8 V,6196,1.26,1.21,0.324,4.41,2.01,,-19.05298,215.3585,62.5388,1,4,0
DMPP-2,F5 V,6500,1.78,1.44,0.104,4.1,2,,-75.53408,246.9225,137.94,1,1,0
DMPP-3 A,K0 V,5138,0.91,0.87,-0.283,4.3,10.9,,-29.1444896,283.2096919,,2,1,0
DP Leo,,,,0.69,,,,,66.45645,230.8965,305.684,2,1,0
DS Tuc A,G6 V,5428,0.96,1.01,-0.14,4.6,0.045,2.4,-46.63369,312.1021,44.0622,2,1,0
EPIC 201238110,,,0.37,0.41,,,,,56.94671,278.3186,159.259,1,1,0
EPIC 201497682,,,0.55,0.78,,,,,54.824,258.1937,253.026,1,1,0
EPIC 201841433,,,0.63,0.8,,,,,63.11982,261.1059,436.488,1,1,0
EPIC 206024342,,,0.82,0.93,,,,,-49.18712,42.94389,369.888,1,1,0
EPIC 206032309,,,,0.22,,,,,-57.69609,50.70299,161.365,1,1,0
EPIC 206042996,,,0.67,0.56,,,,,-54.37582,48.06543,451.769,1,1,0
EPIC 206215704,,,0.37,0.41,,,,,-50.2849,51.97482,109.888,1,1,0
EPIC 206317286,,,0.67,0.71,,,,,-51.54455,56.17007,314.35,1,1,0
EPIC 211822797,,4148.21,0.57,0.66,-1.153,4.65,0.79,3.87972,32.03755,208.283,186.197,1,1,0
EPIC 211945201,G0,6069,1.39,1.17,0.373,4.22,3.99,2.253,38.12763,208.7818,181.69,1,1,0
EPIC 212297394,,,0.75,0.83,,,,,43.1473,321.8193,418.395,1,1,0
EPIC 212424622,,,1.22,1.11,,,,,47.50558,316.5826,611.804,1,1,0
EPIC 212499991,,,,0.91,,,,,49.05582,317.3487,283.29,1,1,0
EPIC 212587672,,,0.98,0.95,,,,,50.09512,322.4171,320.07,1,1,0
EPIC 212737443,K3,4684,0.67,0.69,-0.706,4.62,,3.19,53.83832,322.2711,336.25,1,2,0
EPIC 220674823,G5 V,5617,0.98,0.97,-0.119,4.45,5,1.35,-52.07645,123.284,244.59,1,2,0
EPIC 246851721,F5 V,6202,1.59,1.32,0.526,4.16,3.02,0.465,-12.64086,186.9753,372.632,2,1,0
