name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
11 Com b,11 Com,b,2007,326.03,12.1,484365,300989,6165.6,3.4664,,,0,,Xinglong Station,Radial Velocity
11 UMi b,11 UMi,b,2009,516.22,12.3,492371,305964,4684.8,2.5045,,,0,,Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And b,14 And,b,2008,185.84,12.9,516389,320889,1525.5,0.7078,,,0,,Okayama Astrophysical Observatory,Radial Velocity
14 Her b,14 Her,b,2002,1773.4,12.9,516389,320889,1481.1,0.6878,,,0,,W. M. Keck Observatory,Radial Velocity
16 Cyg B b,16 Cyg B,b,1996,798.5,13.5,540407,335814,565.7,0.2287,,,0,,Multiple Observatories,Radial Velocity
18 Del b,18 Del,b,2008,993.3,12.5,500377,310939,3273.5,1.6715,,,0,,Okayama Astrophysical Observatory,Radial Velocity
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,2008,,18.647,746443,463847,3000,0.461,1427,2601,0,,Gemini Observatory,Imaging
24 Boo b,24 Boo,b,2018,30.35,13.9,556419,345764,289.2,0.1074,,,0,,Okayama Astrophysical Observatory,Radial Velocity
24 Sex b,24 Sex,b,2010,452.8,13.4,536404,333327,632.5,0.2613,,,0,,Lick Observatory,Radial Velocity
24 Sex c,24 Sex,c,2010,883,13.9,556419,345764,273.3,0.1015,,,0,,Lick Observatory,Radial Velocity
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2013,,12.3,492371,305964,4131.8,2.2142,,,0,,Paranal Observatory,Imaging
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,2013,,11.209,448698,278825,7786.5,5.5172,1327,2421,0,,W. M. Keck Observatory,Imaging
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,2015,,16.141,646127,401509,4417.8,1.0472,,,0,,Cerro Tololo Inter-American Observatory,Imaging
